fecha,tren,categoria,tipo_servicio,detalle,servicio_comercial,sentido,cod_origen,estacion_origen,cod_destino,estacion_destino,num_paradas,paradas
2026-06-23,14512,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61304,Torre-Pacheco,61307,Cartagena,2,Torre-Pacheco > Cartagena
2026-06-23,14514,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61307,Cartagena,4,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco > Cartagena
2026-06-23,14514,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61304,Torre-Pacheco,3,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco
2026-06-23,14514,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61304,Torre-Pacheco,61307,Cartagena,2,Torre-Pacheco > Cartagena
2026-06-23,14515,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61200,Murcia del Carmen,4,Cartagena > Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14515,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61304,Torre-Pacheco,2,Cartagena > Torre-Pacheco
2026-06-23,14515,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61304,Torre-Pacheco,61200,Murcia del Carmen,3,Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14516,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61307,Cartagena,4,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco > Cartagena
2026-06-23,14516,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61304,Torre-Pacheco,3,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco
2026-06-23,14516,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61304,Torre-Pacheco,61307,Cartagena,2,Torre-Pacheco > Cartagena
2026-06-23,14517,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61200,Murcia del Carmen,4,Cartagena > Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14517,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61304,Torre-Pacheco,2,Cartagena > Torre-Pacheco
2026-06-23,14517,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61304,Torre-Pacheco,61200,Murcia del Carmen,3,Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14518,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61307,Cartagena,4,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco > Cartagena
2026-06-23,14518,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61200,Murcia del Carmen,61304,Torre-Pacheco,3,Murcia del Carmen > Balsicas-Mar Menor > Torre-Pacheco
2026-06-23,14518,MD,Media Distancia,Área Este,PROXIMDAD,Par (↓ Sur/Destino),61304,Torre-Pacheco,61307,Cartagena,2,Torre-Pacheco > Cartagena
2026-06-23,14519,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61200,Murcia del Carmen,4,Cartagena > Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14519,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61304,Torre-Pacheco,2,Cartagena > Torre-Pacheco
2026-06-23,14519,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61304,Torre-Pacheco,61200,Murcia del Carmen,3,Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14521,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61200,Murcia del Carmen,4,Cartagena > Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14521,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61304,Torre-Pacheco,2,Cartagena > Torre-Pacheco
2026-06-23,14521,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61304,Torre-Pacheco,61200,Murcia del Carmen,3,Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14541,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61200,Murcia del Carmen,4,Cartagena > Torre-Pacheco > Balsicas-Mar Menor > Murcia del Carmen
2026-06-23,14541,MD,Media Distancia,Área Este,PROXIMDAD,Impar (↑ Norte/Origen),61307,Cartagena,61304,Torre-Pacheco,2,Cartagena > Torre-Pacheco
